                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4957,                    1.1,                 1.1545,                0.69003,                0.54321,                0.59006,                0.31164,                 1.4654,                0.81997,                 1.1348,              0.0033305,              0.0033305,              0.0033305
                      1,                 1.4667,                 0.8948,                 1.1313,                0.72587,                0.53403,                0.60154,                0.31327,                 1.4759,                0.85391,                 1.1257,              0.0066308,              0.0066308,              0.0066308
                      2,                 1.5033,                0.94493,                 1.1559,                0.64635,                0.50697,                0.54364,                0.27697,                  1.498,                0.89715,                 1.1613,              0.0098982,              0.0098982,              0.0098982
                      3,                  1.547,                0.97495,                 1.1861,                0.65255,                0.51279,                0.55061,                0.28127,                 1.5097,                 0.8951,                 1.1647,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.5216,                0.94589,                 1.1764,                0.65655,                0.53496,                0.57754,                0.29531,                 1.5098,                0.88141,                 1.1709,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5001,                 0.9164,                  1.169,                0.70268,                0.54754,                0.60115,                0.31438,                 1.4625,                0.85331,                 1.1529,               0.009802,               0.009802,               0.009802
                      6,                 1.4765,                0.88825,                 1.1574,                 0.7062,                 0.5657,                0.61883,                 0.3235,                 1.4578,                0.83433,                 1.1471,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4629,                0.86942,                  1.157,                0.70739,                0.57737,                0.61704,                0.32978,                 1.4685,                0.82564,                 1.1569,               0.009703,               0.009703,               0.009703
                      8,                 1.4521,                0.85461,                 1.1471,                0.71865,                 0.5747,                0.62913,                0.33718,                 1.4397,                0.80318,                 1.1417,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.431,                0.83795,                 1.1397,                0.72115,                0.58704,                0.64171,                0.34735,                 1.4306,                0.79318,                 1.1388,               0.009604,               0.009604,               0.009604
                     10,                 1.4198,                 0.8241,                 1.1386,                0.72634,                0.58791,                0.64713,                0.34939,                 1.4198,                0.78519,                 1.1395,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4115,                0.81945,                 1.1359,                0.73387,                0.58931,                0.64443,                0.34458,                  1.404,                0.78726,                 1.1186,               0.009505,               0.009505,               0.009505
                     12,                 1.4031,                0.81053,                 1.1264,                0.74546,                0.60174,                0.65441,                0.35622,                  1.411,                0.76967,                 1.1269,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.3926,                0.80096,                 1.1226,                0.75983,                0.60377,                0.66413,                0.35821,                  1.408,                0.76057,                 1.1133,               0.009406,               0.009406,               0.009406
                     14,                 1.3853,                0.78987,                  1.118,                0.73437,                0.61314,                0.66747,                0.36777,                 1.3973,                0.75361,                 1.1151,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.3808,                0.78987,                 1.1161,                 0.7613,                0.61109,                0.66922,                0.36951,                  1.398,                0.74848,                 1.1186,               0.009307,               0.009307,               0.009307
                     16,                 1.3722,                0.77962,                 1.1152,                0.77313,                0.62243,                 0.6799,                0.37359,                  1.396,                0.74072,                 1.1136,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.3683,                0.77114,                  1.112,                0.76305,                0.62711,                0.68308,                0.37996,                 1.3916,                0.73424,                 1.1129,               0.009208,               0.009208,               0.009208
                     18,                 1.3647,                 0.7657,                 1.1059,                0.76267,                0.62239,                 0.6807,                 0.3786,                 1.3773,                0.73032,                  1.108,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.3527,                0.75686,                 1.1042,                0.76293,                0.61659,                0.68196,                 0.3797,                 1.3656,                0.72934,                 1.1051,               0.009109,               0.009109,               0.009109
                     20,                 1.3473,                0.75368,                 1.0991,                0.76958,                 0.6247,                0.68281,                0.37839,                 1.3691,                0.72283,                 1.1052,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.3474,                0.74905,                 1.0982,                 0.7858,                0.61734,                0.69215,                0.38648,                 1.3744,                 0.7223,                 1.1017,                0.00901,                0.00901,                0.00901
                     22,                 1.3414,                0.74803,                 1.0986,                 0.7636,                0.64405,                0.70495,                0.39206,                 1.3673,                0.71736,                  1.102,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3338,                0.74026,                 1.0953,                0.80373,                0.63088,                0.70632,                0.39569,                 1.3588,                0.70595,                 1.0958,               0.008911,               0.008911,               0.008911
                     24,                 1.3311,                0.73418,                 1.0923,                0.78646,                0.63918,                0.70675,                0.39545,                 1.3683,                 0.7063,                  1.105,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.3196,                0.73128,                 1.0901,                0.78773,                0.63955,                0.70631,                0.39943,                 1.3513,                0.69425,                 1.0999,               0.008812,               0.008812,               0.008812
                     26,                 1.3188,                0.72587,                 1.0929,                0.77267,                0.64904,                0.70814,                0.40276,                 1.3509,                0.69646,                 1.1027,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.3076,                0.72066,                 1.0875,                0.78755,                  0.648,                0.71342,                0.40384,                 1.3461,                0.69231,                 1.0983,               0.008713,               0.008713,               0.008713
                     28,                  1.304,                0.71811,                 1.0822,                0.79658,                0.65118,                0.71555,                0.40469,                 1.3518,                0.68594,                  1.097,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.2986,                0.71226,                 1.0785,                0.79411,                0.65932,                 0.7157,                0.40533,                  1.335,                0.67892,                 1.0837,               0.008614,               0.008614,               0.008614
                     30,                 1.2966,                0.70541,                 1.0772,                  0.785,                0.66034,                0.72177,                0.41191,                  1.336,                 0.6776,                 1.0901,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.2978,                0.69937,                 1.0835,                0.78013,                0.65584,                0.71537,                0.41072,                  1.324,                0.67147,                 1.0841,               0.008515,               0.008515,               0.008515
                     32,                 1.2897,                 0.7045,                 1.0751,                 0.8174,                0.64493,                0.72203,                0.41399,                 1.3331,                0.67344,                 1.0852,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.2818,                0.69738,                 1.0725,                0.81256,                0.65736,                0.72863,                0.41664,                 1.3271,                0.67118,                 1.0845,               0.008416,               0.008416,               0.008416
                     34,                 1.2838,                0.69454,                 1.0753,                0.79499,                0.66409,                0.72614,                0.41134,                 1.3238,                0.66274,                 1.0858,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.2784,                0.69264,                 1.0723,                0.81329,                 0.6609,                0.72828,                0.42085,                 1.3162,                0.66009,                 1.0818,               0.008317,               0.008317,               0.008317
                     36,                 1.2738,                0.68997,                 1.0698,                 0.8044,                0.66492,                0.73077,                0.42054,                 1.3195,                0.66459,                 1.0797,              0.0082675,              0.0082675,              0.0082675
                     37,                  1.273,                 0.6858,                 1.0691,                0.81055,                0.65737,                0.72791,                0.42199,                 1.3185,                0.65839,                 1.0853,               0.008218,               0.008218,               0.008218
                     38,                 1.2655,                0.67964,                 1.0684,                0.81053,                0.66662,                0.73579,                0.42814,                 1.3108,                0.65326,                 1.0785,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.2589,                0.67842,                 1.0637,                0.81421,                0.66148,                0.73644,                0.42581,                 1.3083,                0.65148,                 1.0768,               0.008119,               0.008119,               0.008119
                     40,                  1.261,                0.67483,                 1.0601,                0.80333,                0.67228,                 0.7344,                0.42404,                  1.307,                0.64829,                 1.0716,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.2526,                 0.6699,                 1.0573,                0.81706,                0.65898,                 0.7373,                 0.4326,                 1.3058,                0.64687,                 1.0728,                0.00802,                0.00802,                0.00802
                     42,                 1.2492,                0.66692,                 1.0567,                0.82236,                0.66908,                0.73691,                0.43138,                 1.3014,                0.64219,                 1.0664,              0.0079705,              0.0079705,              0.0079705
                     43,                  1.247,                0.66474,                 1.0563,                0.81736,                0.67047,                 0.7375,                 0.4305,                 1.3033,                0.64349,                 1.0714,               0.007921,               0.007921,               0.007921
                     44,                 1.2395,                0.66185,                 1.0534,                0.81938,                 0.6729,                0.74245,                0.43471,                  1.299,                 0.6383,                 1.0721,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2396,                0.65979,                 1.0542,                0.81234,                0.67512,                0.74257,                 0.4389,                 1.2943,                0.63471,                 1.0708,               0.007822,               0.007822,               0.007822
                     46,                 1.2402,                0.65956,                  1.059,                0.82834,                0.67765,                0.74996,                0.44078,                 1.2962,                0.63232,                 1.0724,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2357,                0.65674,                 1.0522,                0.82505,                0.67347,                0.74968,                0.43857,                 1.2924,                0.63399,                  1.066,               0.007723,               0.007723,               0.007723
                     48,                 1.2354,                0.65384,                 1.0485,                0.82449,                0.67633,                0.74909,                0.44284,                 1.2897,                0.62937,                 1.0657,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.2302,                0.64942,                 1.0477,                0.84228,                0.67146,                0.75078,                0.44505,                 1.2866,                0.62769,                 1.0641,               0.007624,               0.007624,               0.007624
                     50,                 1.2246,                0.65345,                 1.0521,                 0.8354,                0.67626,                 0.7483,                0.44486,                 1.2843,                0.62626,                 1.0657,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.2175,                0.64195,                 1.0447,                0.83163,                0.66982,                0.74737,                0.44411,                  1.282,                0.62295,                 1.0625,               0.007525,               0.007525,               0.007525
                     52,                 1.2097,                0.64019,                 1.0424,                0.83141,                0.67615,                0.75064,                0.44683,                 1.2834,                0.62087,                  1.063,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.2152,                0.64345,                 1.0423,                0.83064,                0.68467,                0.75293,                0.44898,                 1.2818,                 0.6191,                 1.0611,               0.007426,               0.007426,               0.007426
                     54,                 1.2132,                0.64017,                 1.0441,                0.84051,                0.67968,                0.75274,                0.44987,                 1.2793,                0.61671,                  1.062,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.2107,                0.63777,                 1.0415,                0.83894,                0.67919,                  0.758,                0.45472,                 1.2744,                0.61371,                 1.0604,               0.007327,               0.007327,               0.007327
                     56,                 1.2019,                0.62774,                 1.0387,                0.82723,                0.68872,                0.76059,                0.45532,                 1.2733,                0.61187,                 1.0597,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2044,                0.63242,                 1.0414,                   0.83,                0.68064,                0.75732,                0.45245,                 1.2757,                0.61222,                 1.0616,               0.007228,               0.007228,               0.007228
                     58,                 1.1941,                0.62449,                 1.0336,                0.81885,                0.68955,                0.75675,                0.45391,                 1.2729,                0.60947,                 1.0588,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1972,                0.62636,                 1.0405,                0.82893,                0.68961,                0.75817,                 0.4576,                 1.2717,                0.60965,                 1.0606,               0.007129,               0.007129,               0.007129
                     60,                 1.1884,                 0.6171,                  1.034,                0.83588,                0.68574,                0.76165,                0.46013,                 1.2679,                0.60699,                 1.0586,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1889,                 0.6248,                 1.0322,                0.81984,                0.69535,                0.76076,                 0.4592,                 1.2662,                0.60437,                 1.0564,                0.00703,                0.00703,                0.00703
                     62,                 1.1778,                0.61472,                 1.0288,                0.82822,                 0.6871,                0.75931,                 0.4578,                 1.2669,                 0.6058,                 1.0557,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1819,                0.61756,                 1.0344,                 0.8358,                0.68871,                0.75733,                0.45933,                 1.2649,                0.60208,                 1.0581,               0.006931,               0.006931,               0.006931
